DAY,MONTH,HOUR,MIN,SUBJ,YEAR
18,8,8,0,A1 BLOCK 1,2015
26,8,8,0,A1 BLOCK 1,2015
14,9,8,0,A1 BLOCK 1,2015
22,9,8,0,A1 BLOCK 1,2015
2,10,8,0,A1 BLOCK 1,2015
12,10,8,0,A1 BLOCK 1,2015
14,10,8,0,A1 BLOCK 1,2015
5,11,8,0,A1 BLOCK 1,2015
13,11,8,0,A1 BLOCK 1,2015
23,11,8,0,A1 BLOCK 1,2015
2,12,8,0,A1 BLOCK 1,2015
10,12,8,0,A1 BLOCK 1,2015
18,12,8,0,A1 BLOCK 1,2015
12,1,8,0,A1 BLOCK 1,2016
20,1,8,0,A1 BLOCK 1,2016
28,1,8,0,A1 BLOCK 1,2016
16,2,8,0,A1 BLOCK 1,2016
3,3,8,0,A1 BLOCK 1,2016
11,3,8,0,A1 BLOCK 1,2016
22,3,8,0,A1 BLOCK 1,2016
8,4,8,0,A1 BLOCK 1,2016
18,4,8,0,A1 BLOCK 1,2016
27,4,8,0,A1 BLOCK 1,2016
6,5,8,0,A1 BLOCK 1,2016
16,5,8,0,A1 BLOCK 1,2016
24,5,8,0,A1 BLOCK 1,2016
1,6,8,0,A1 BLOCK 1,2016
8,6,8,0,A1 BLOCK 1,2016
10,6,8,0,A1 BLOCK 1,2016
19,8,10,45,B3 BLOCK 1,2015
27,8,10,45,B3 BLOCK 1,2015
7,9,10,45,B3 BLOCK 1,2015
15,9,10,45,B3 BLOCK 1,2015
23,9,10,45,B3 BLOCK 1,2015
5,10,10,45,B3 BLOCK 1,2015
13,10,10,45,B3 BLOCK 1,2015
6,11,10,45,B3 BLOCK 1,2015
16,11,10,45,B3 BLOCK 1,2015
24,11,10,45,B3 BLOCK 1,2015
3,12,10,45,B3 BLOCK 1,2015
11,12,10,45,B3 BLOCK 1,2015
5,1,10,45,B3 BLOCK 1,2016
13,1,10,45,B3 BLOCK 1,2016
21,1,10,45,B3 BLOCK 1,2016
29,1,10,45,B3 BLOCK 1,2016
17,2,10,45,B3 BLOCK 1,2016
4,3,10,45,B3 BLOCK 1,2016
14,3,10,45,B3 BLOCK 1,2016
23,3,10,45,B3 BLOCK 1,2016
11,4,10,45,B3 BLOCK 1,2016
19,4,10,45,B3 BLOCK 1,2016
28,4,10,45,B3 BLOCK 1,2016
9,5,10,45,B3 BLOCK 1,2016
17,5,10,45,B3 BLOCK 1,2016
25,5,10,45,B3 BLOCK 1,2016
2,6,10,45,B3 BLOCK 1,2016
13,6,10,45,B3 BLOCK 1,2016
21,8,8,0,D1 BLOCK 1,2015
31,8,8,0,D1 BLOCK 1,2015
9,9,8,0,D1 BLOCK 1,2015
17,9,8,0,D1 BLOCK 1,2015
25,9,8,0,D1 BLOCK 1,2015
7,10,8,0,D1 BLOCK 1,2015
2,11,8,0,D1 BLOCK 1,2015
10,11,8,0,D1 BLOCK 1,2015
18,11,8,0,D1 BLOCK 1,2015
27,11,8,0,D1 BLOCK 1,2015
7,12,8,0,D1 BLOCK 1,2015
15,12,8,0,D1 BLOCK 1,2015
7,1,8,0,D1 BLOCK 1,2016
15,1,8,0,D1 BLOCK 1,2016
25,1,8,0,D1 BLOCK 1,2016
2,2,8,0,D1 BLOCK 1,2016
29,2,8,0,D1 BLOCK 1,2016
8,3,8,0,D1 BLOCK 1,2016
17,3,8,0,D1 BLOCK 1,2016
5,4,8,0,D1 BLOCK 1,2016
13,4,8,0,D1 BLOCK 1,2016
22,4,8,0,D1 BLOCK 1,2016
3,5,8,0,D1 BLOCK 1,2016
11,5,8,0,D1 BLOCK 1,2016
19,5,8,0,D1 BLOCK 1,2016
27,5,8,0,D1 BLOCK 1,2016
6,6,8,0,D1 BLOCK 1,2016
15,6,8,0,D1 BLOCK 1,2016
24,8,10,45,E3 BLOCK 1,2015
1,9,10,45,E3 BLOCK 1,2015
10,9,10,45,E3 BLOCK 1,2015
18,9,10,45,E3 BLOCK 1,2015
29,9,10,45,E3 BLOCK 1,2015
8,10,10,45,E3 BLOCK 1,2015
3,11,10,45,E3 BLOCK 1,2015
11,11,10,45,E3 BLOCK 1,2015
19,11,10,45,E3 BLOCK 1,2015
30,11,10,45,E3 BLOCK 1,2015
8,12,10,45,E3 BLOCK 1,2015
16,12,10,45,E3 BLOCK 1,2015
8,1,10,45,E3 BLOCK 1,2016
18,1,10,45,E3 BLOCK 1,2016
26,1,10,45,E3 BLOCK 1,2016
3,2,10,45,E3 BLOCK 1,2016
1,3,10,45,E3 BLOCK 1,2016
9,3,10,45,E3 BLOCK 1,2016
18,3,10,45,E3 BLOCK 1,2016
6,4,10,45,E3 BLOCK 1,2016
14,4,10,45,E3 BLOCK 1,2016
25,4,10,45,E3 BLOCK 1,2016
4,5,10,45,E3 BLOCK 1,2016
12,5,10,45,E3 BLOCK 1,2016
20,5,10,45,E3 BLOCK 1,2016
30,5,10,45,E3 BLOCK 1,2016
7,6,10,45,E3 BLOCK 1,2016